"CODUSU";"NRO_HOGAR";"REALIZADA";"ANO4";"TRIMESTRE";"AGLOMERADO";"POND_TIC";"IH_II_01";"IH_II_02"
"TQRMNOSPTHLMKMCDEGLDF00853230";1;1;2023;4;15;166;9;9
"TQRMNORQYHKKKTCDEIIAD00791366";1;1;2023;4;32;805;1;9
"TQRMNOPWXHKMKRCDEGNFJ00810403";1;1;2023;4;17;212;9;2
"TQRMNOSRVHKMKPCDEGJBF00789069";1;1;2023;4;13;656;9;2
"TQRMNOPQVHMMLPCDEFIAH00851522";1;1;2023;4;2;716;2;2
"TQRMNOPSTHKOMLCDEFIAH00793267";1;1;2023;4;2;1775;2;2
"TQRMNOPSWHLMKQCDEFIAH00856363";1;1;2023;4;2;651;2;2
"TQRMNOPTRHLMLTCDEFIAH00851514";1;1;2023;4;2;644;2;2
"TQRMNOPVTHLOLSCDEFIAH00851510";1;1;2023;4;2;568;2;2
"TQRMNOQQQHMNKMCDEFIAH00856350";1;1;2023;4;2;812;2;2
"TQRMNOQUPHLMLNCDEFIAH00851566";1;1;2023;4;2;548;2;2
"TQRMNOQVTHKOMLCDEFIAH00787317";1;1;2023;4;2;1361;2;2
"TQRMNOQWWHJMKQCDEFIAH00794860";1;1;2023;4;2;680;2;2
"TQRMNOQXTHLMLTCDEFIAH00851572";1;1;2023;4;2;511;2;2
"TQRMNOQYRHLMKOCDEFIAH00851503";1;1;2023;4;2;646;2;2
"TQRMNOQYTHLMKPCDEFIAH00851518";1;1;2023;4;2;596;2;2
"TQRMNORRRHJOLQCDEFIAH00795631";1;1;2023;4;2;953;2;2
"TQRMNORRSHJOLQCDEFIAH00796825";1;1;2023;4;2;1186;2;2
"TQRMNORRSHKLLRCDEFIAH00787352";1;1;2023;4;2;896;2;2
"TQRMNORRWHMOLRCDEFIAH00851601";1;1;2023;4;2;1154;2;2
"TQRMNORSRHMMLLCDEFIAH00808670";1;1;2023;4;2;728;2;2
"TQRMNORTTHJMKPCDEFIAH00794859";1;1;2023;4;2;425;2;2
"TQRMNORURHLOLSCDEFIAH00856336";1;1;2023;4;2;692;2;2
"TQRMNORUSHLOLSCDEFIAH00851492";1;1;2023;4;2;821;2;2
"TQRMNORWPHJMMLCDEFIAH00856337";1;1;2023;4;2;694;2;2
"TQRMNORWRHLMKQCDEFIAH00856365";1;1;2023;4;2;651;2;2
"TQRMNORWYHMMLPCDEFIAH00851576";1;1;2023;4;2;690;2;2
"TQRMNOSPXHLOKMCDEFIAH00856349";1;1;2023;4;2;520;2;2
"TQRMNOSRWHMOLTCDEFIAH00808584";1;1;2023;4;2;1442;2;2
"TQRMNOSRYHMOLTCDEFIAH00808526";1;1;2023;4;2;1495;2;2
"TQRMNOSTSHJOLQCDEFIAH00795477";1;1;2023;4;2;1473;2;2
"TQRMNOSXSHKOLOCDEFIAH00787369";1;1;2023;4;2;664;2;2
"TQRMNOTQPHKNKMCDEFIAH00787337";1;1;2023;4;2;1090;2;2
"TQRMNOTVQHLLKTCDEFIAH00851596";1;1;2023;4;2;1617;2;2
"TQRMNOPQRHLMKOCDEFJAH00851623";1;1;2023;4;3;380;2;2
"TQRMNOPQTHMOLMCDEFJAH00808691";1;1;2023;4;3;222;2;2
"TQRMNOPRVHJLLLCDEFJAH00794645";1;1;2023;4;3;297;2;2
"TQRMNOPSPHMMKRCDEFJAH00851727";1;1;2023;4;3;367;2;2
"TQRMNOPSXHMMKPCDEFJAH00851666";1;1;2023;4;3;334;2;2
"TQRMNOPSYHJNLPCDEFJAH00794366";1;1;2023;4;3;188;2;2
"TQRMNOPTPHJNLPCDEFJAH00794367";1;1;2023;4;3;281;2;2
"TQRMNOPTVHJNLPCDEFJAH00793230";1;1;2023;4;3;218;2;2
"TQRMNOPVSHKOKQCDEFJAH00787445";1;1;2023;4;3;111;2;2
"TQRMNOPVTHJNLRCDEFJAH00796667";1;1;2023;4;3;201;2;2
"TQRMNOPXVHKOLPCDEFJAH00787514";1;1;2023;4;3;288;2;2
"TQRMNOPXWHKNKUCDEFJAH00787500";1;1;2023;4;3;273;2;2
"TQRMNOPXWHMOLNCDEFJAH00808707";1;1;2023;4;3;237;2;2
"TQRMNOPXYHMNLTCDEFJAH00808751";1;1;2023;4;3;281;2;2
"TQRMNOPYQHMNLTCDEFJAH00808797";1;1;2023;4;3;281;2;2
"TQRMNOQPWHJMLMCDEFJAH00795357";1;1;2023;4;3;316;2;2
"TQRMNOQQWHKMLRCDEFJAH00787438";1;1;2023;4;3;282;2;2
"TQRMNOQRSHJMLQCDEFJAH00796598";1;1;2023;4;3;289;2;2
"TQRMNOQRTHLKLMCDEFJAH00851706";1;1;2023;4;3;478;2;2
"TQRMNOQSQHLMLOCDEFJAH00851649";1;1;2023;4;3;360;2;2
"TQRMNOQTRHKMLOCDEFJAH00793565";1;1;2023;4;3;342;2;2
"TQRMNOQUXHLMKQCDEFJAH00851619";1;1;2023;4;3;357;2;2
"TQRMNOQUYHLMKQCDEFJAH00851700";1;1;2023;4;3;291;2;2
"TQRMNOQVRHKOKQCDEFJAH00787518";1;1;2023;4;3;166;2;2
"TQRMNOQWRHJOKPCDEFJAH00793722";1;1;2023;4;3;436;2;2
"TQRMNOQXWHKOKTCDEFJAH00787475";1;1;2023;4;3;287;2;2
"TQRMNOQXXHJOLSCDEFJAH00797784";1;1;2023;4;3;513;2;2
"TQRMNOQYPHJOLSCDEFJAH00797548";1;1;2023;4;3;645;2;2
"TQRMNOQYRHKKKRCDEFJAH00787469";1;1;2023;4;3;423;2;2
"TQRMNORQPHJOKPCDEFJAH00793262";1;1;2023;4;3;358;2;2
"TQRMNORQSHKOLPCDEFJAH00787523";1;1;2023;4;3;312;2;2
"TQRMNORQTHKOLPCDEFJAH00787534";1;1;2023;4;3;257;2;2
"TQRMNORSYHKLKPCDEFJAH00796399";1;1;2023;4;3;218;2;2
